category,words_phrases
enemy,words
enemy,enemy
enemy,foe
enemy,invader
opponent_adversary_rival,adversary
opponent_adversary_rival,rival
opponent_adversary_rival,hegemon
opponent_adversary_rival,opponent
threat_antagonist,threat
threat_antagonist,antagonist
opposition_challenger,disputant
opposition_challenger,competitor
opposition_challenger,challenger
partner_ally_friend_supporter, ally
partner_ally_friend_supporter, friend
partner_ally_friend_supporter,supporter
partner_ally_friend_supporter,collaborator
partner_ally_friend_supporter,colleague
partner_ally_friend_supporter,comrade
partner_ally_friend_supporter,advocate
partner_ally_friend_supporter,associate
partner_ally_friend_supporter,teammate
partner_ally_friend_supporter,team
partner_ally_friend_supporter,partner
partner_ally_friend_supporter,peer
animosity_hostile,Cold War
animosity_hostile,animosity
animosity_hostile,hostile
animosity_hostile,hatred
animosity_hostile,resentment
animosity_hostile,malevolence
animosity_hostile,malice
animosity_hostile,antagonism
animosity_hostile,antipathy
animosity_hostile,hostility
animosity_hostile,bitter
dispute_conflict,opposed
dispute_conflict,unfavorable
dispute_conflict,dispute
dispute_conflict,conflict
dispute_conflict,feud
dispute_conflict,altercation
dispute_conflict,battle
dispute_conflict,fight
dispute_conflict,rivalry
controversy_disagreement_divide,disagreement
controversy_disagreement_divide,dislike
controversy_disagreement_divide,divide
controversy_disagreement_divide,controversey
controversy_disagreement_divide,discord
controversy_disagreement_divide,strife
controversy_disagreement_divide,clash
controversy_disagreement_divide,row
controversy_disagreement_divide,competition
controversy_disagreement_divide,disaccord
controversy_disagreement_divide,oppose
controversy_disagreement_divide,argument
controversy_disagreement_divide,bickering
controversy_disagreement_divide,debate
suspicious_wary_tension,quarrel
suspicious_wary_tension,tension
suspicious_wary_tension,wary
suspicious_wary_tension,suspicious
suspicious_wary_tension,unfriendly
suspicious_wary_tension,friction
suspicious_wary_tension,apprehensive
suspicious_wary_tension,doubtful
suspicious_wary_tension,skeptical
suspicious_wary_tension,differ
suspicious_wary_tension,disagree
suspicious_wary_tension,discussion
suspicious_wary_tension,pressure
suspicious_wary_tension,tense
suspicious_wary_tension,disenchantment
suspicious_wary_tension,strained
suspicious_wary_tension,concern
suspicious_wary_tension,escalating
suspicious_wary_tension,misunderstanding
suspicious_wary_tension,disappoint
suspicious_wary_tension,uneasy
admiration_mutually_beneficial_mutual_cooperation_support,admiration
admiration_mutually_beneficial_mutual_cooperation_support,mutual
admiration_mutually_beneficial_mutual_cooperation_support,beneficial
admiration_mutually_beneficial_mutual_cooperation_support,cooperation
admiration_mutually_beneficial_mutual_cooperation_support,bilateral
admiration_mutually_beneficial_mutual_cooperation_support,collective
admiration_mutually_beneficial_mutual_cooperation_support,shared
admiration_mutually_beneficial_mutual_cooperation_support,common
admiration_mutually_beneficial_mutual_cooperation_support,reciprocal
admiration_mutually_beneficial_mutual_cooperation_support,respect
admiration_mutually_beneficial_mutual_cooperation_support,interdependent
admiration_mutually_beneficial_mutual_cooperation_support,cooperate
admiration_mutually_beneficial_mutual_cooperation_support,aid
admiration_mutually_beneficial_mutual_cooperation_support,assistance
admiration_mutually_beneficial_mutual_cooperation_support,collaborate
admiration_mutually_beneficial_mutual_cooperation_support,collaboration
admiration_mutually_beneficial_mutual_cooperation_support,alliance
admiration_mutually_beneficial_mutual_cooperation_support,coalition
admiration_mutually_beneficial_mutual_cooperation_support,help
admiration_mutually_beneficial_mutual_cooperation_support,union
admiration_mutually_beneficial_mutual_cooperation_support,appreciation
admiration_mutually_beneficial_mutual_cooperation_support,praise
admiration_mutually_beneficial_mutual_cooperation_support,favorable
admiration_mutually_beneficial_mutual_cooperation_support,valuable